Air;(unspecified);Nitrogen fluoride;007783-54-2;1.79E+04;kg
Air;(unspecified);Pentane, 2,3-dihydroperfluoro-, HFC-4310mee;138495-42-8;1.95E+03;kg
Air;(unspecified);Pentane, perfluoro-;000678-26-2;9.48E+03;kg
Air;(unspecified);Perfluoro-2-methyl-3-pentanone;756-13-8;0.00E+00;kg
Air;(unspecified);Perfluorobut-1-ene;000357-26-6;0.00E+00;kg
Air;(unspecified);Perfluorobut-2-ene;000360-89-4;2.00E+00;kg
Air;(unspecified);Perfluorobuta-1,3-diene;000685-63-2;0.00E+00;kg
Air;(unspecified);Perfluorobutyl acetate;209597-28-4;2.00E+00;kg
Air;(unspecified);Perfluorobutylformate;197218-56-7;4.75E+02;kg
Air;(unspecified);Perfluorocyclopentene;000559-40-0;2.00E+00;kg
Air;(unspecified);Perfluorodecalin;306-94-5;6.98E+03;kg
Air;(unspecified);Perfluorodecalin (cis);60433-11-6;8.03E+03;kg
Air;(unspecified);Perfluoroethyl acetate;343269-97-6;3.00E+00;kg
Air;(unspecified);Perfluoroethylformate;313064-40-3;7.03E+02;kg
Air;(unspecified);Perfluoropropyl acetate;1344118-10-;2.00E+00;kg
Air;(unspecified);Perfluoropropylformate;271257-42-2;4.56E+02;kg
Air;(unspecified);PFC-1114;116-14-3;0.00E+00;kg
Air;(unspecified);PFC-1216;116-15-4;0.00E+00;kg
Air;(unspecified);PFC-61-16;335-57-9;8.68E+03;kg
Air;(unspecified);PFC-71-18;;8.46E+03;kg
Air;(unspecified);PFC-9-1-18;;7.98E+03;kg
Air;(unspecified);PFPMIE;;1.08E+04;kg
Air;(unspecified);Propane, 1,1,1,2,2,3-hexafluoro-, HFC-236cb;000677-56-5;1.44E+03;kg
Air;(unspecified);Propane, 1,1,1,2,3,3-hexafluoro-, HFC-236ea;000431-63-0;1.60E+03;kg
Air;(unspecified);Propane, 1,1,1,2,3,3,3-heptafluoro-, HFC-227ea;000431-89-0;3.86E+03;kg
Air;(unspecified);Propane, 1,1,1,3,3-pentafluoro-, HFC-245fa;000460-73-1;1.03E+03;kg
Air;(unspecified);Propane, 1,1,1,3,3,3-hexafluoro-, HCFC-236fa;000690-39-1;9.00E+03;kg
Air;(unspecified);Propane, 1,1,2,2,3-pentafluoro-, HFC-245ca;000679-86-7;8.63E+02;kg
Air;(unspecified);Propane, 1,3-dichloro-1,1,2,2,3-pentafluoro-, HCFC-225cb;000507-55-1;6.33E+02;kg
Air;(unspecified);Propane, 2-(difluoromethoxymethyl)-1,1,1,2,3,3,3-heptafluoro-;163702-08-7;4.92E+02;kg
Air;(unspecified);Propane, 2-(ethoxydifluoromethyl)-1,1,1,2,3,3,3-heptafluoro-;163702-06-5;5.40E+01;kg
Air;(unspecified);Propane, 3,3-dichloro-1,1,1,2,2-pentafluoro-, HCFC-225ca;000422-56-0;1.55E+02;kg
Air;(unspecified);Propane, perfluoro-;000076-19-7;9.88E+03;kg
Air;(unspecified);Propane, perfluorocyclo-;;1.02E+04;kg
Air;(unspecified);Sevoflurane (HFE-347mmz1);28523-86-6;2.62E+02;kg
Air;(unspecified);Sulfur hexafluoride;002551-62-4;2.61E+04;kg
